id	Marqueur	Variete	Rendement	Huile	Proteine	Amidon	Floraison	Feuilles
CBD_109	2	Corn_Belt_Dent	294.3652116	4.045744424	13.26303604	66.49132527	864.26	13.97776766
CBD_192	2	Corn_Belt_Dent	302.053846	4.096715783	12.35128177	68.44153933	875.58	14.04315227
CBD_85	2	Corn_Belt_Dent	319.303846	3.546715783	13.65128177	67.31653933	984.34	16.63161381
CBD_146	2	Corn_Belt_Dent	343.8787598	3.351156429	13.63023625	68.6541233	1047.4	17.26622919
CBD_96	2	Corn_Belt_Dent	332.553846	3.246715783	14.50128177	68.14153933	963.89	17.3239215
CBD_20	1	Corn_Belt_Dent	351.6287598	3.876156429	14.85523625	66.4791233	1019.31	18.17007535
CBD_71	1	Corn_Belt_Dent	351.553846	3.396715783	16.25128177	67.31653933	1021.79	16.17776766
CBD_279	1	Corn_Belt_Dent	304.8652116	4.495744424	13.66303604	66.29132527	987.18	16.85084458
Tr_283	2	Tropical	368.48117	1.861172179	12.77932759	71.55800183	1383.03	26.05
CBD_190	2	Corn_Belt_Dent	367.803846	3.621715783	11.87628177	70.89153933	955.04	14.47776766
NF_189	1	Northern_Flint	312.803846	3.496715783	12.95128177	70.59153933	892.8	13.30853689
CBD_92	1	Corn_Belt_Dent	300.3652116	5.695744424	13.86303604	64.49132527	1160.44	19.35084458
Tr_152	2	Tropical	319.8742438	3.766019094	12.27450284	69.31652396	1187.74	19.68868882
CBD_285	2	Corn_Belt_Dent	352.6287598	4.951156429	14.63023625	65.7541233	1073.03	18.30868882
CBD_22	2	Corn_Belt_Dent	338.3787598	4.301156429	11.28023625	68.9541233	1067.89	17.91238304
CBD_210	1	Corn_Belt_Dent	345.8787598	2.776156429	13.08023625	64.5791233	1093.48	17.02868882
SS_214	1	Stiff_Stalk	349.7075771	3.682685761	10.65783618	72.64985729	1116.17	20.80868882
SS_247	2	Stiff_Stalk	359.8652116	2.795744424	12.36303604	70.39132527	1187.8	19.05469073
CBD_240	2	Corn_Belt_Dent	345.3787598	3.351156429	12.55523625	72.4291233	1045.78	18.05861613
CBD_236	2	Corn_Belt_Dent	360.7347802	2.834896376	11.61392708	70.76341569	1122.71	18.84315227
Tr_55	2	Tropical	348.303846	3.346715783	13.02628177	71.34153933	991.82	18.70853689
CBD_201	1	Corn_Belt_Dent	367.3470407	3.397141813	12.50174527	70.1362989	1134.8	17.38868882
NF_275	2	Northern_Flint	324.6215384	3.158686313	13.85051271	68.04661573	945.53	17.61179358
Tr_3	2	Tropical	344.6287598	3.276156429	16.63023625	64.7791233	982.57	17.05549738
NF_39	1	Northern_Flint	340.053846	3.896715783	14.00128177	69.19153933	902.26	14.51622919
NF_38	1	Northern_Flint	330.553846	3.621715783	15.67628177	68.79153933	888.37	12.57861613
CBD_125	2	Corn_Belt_Dent	349.303846	3.371715783	15.10128177	66.61653933	837.13	12.08161381
CBD_131	2	Corn_Belt_Dent	337.9906647	2.821024406	13.23030191	67.29606955	834.15	14.34868882
SS_61	2	Stiff_Stalk	364.366422	2.363519581	14.51918643	69.5051145	950.5	16.06868882
SS_37	2	Stiff_Stalk	360.553846	2.846715783	13.20128177	70.16653933	925.13	15.14868882
CBD_78	2	Corn_Belt_Dent	323.303846	3.671715783	11.80128177	71.01653933	851.67	15.02868882
Tr_223	2	Tropical	332.1287598	3.176156429	13.48023625	66.5791233	1395.94	27.73902272
Tr_231	2	Tropical	374.2492532	4.03031667	12.14674449	69.82464871	1477.38	27.35
Tr_25	2	Tropical	342.8787598	3.651156429	12.85523625	68.6791233	1162.47	19.86505742
Tr_46	2	Tropical	329.1287598	3.976156429	13.00523625	67.5041233	1126.03	20.97776766
Tr_11	2	Tropical	383.48117	4.161172179	12.77932759	65.15800183	1394.93	26.10868882
Tr_218	2	Tropical	357.48117	3.161172179	12.57932759	67.85800183	1518.53	27.25
Tr_143	2	Tropical	361.2492532	3.33031667	13.24674449	68.72464871	1334.27	26.18507129
CBD_147	2	Corn_Belt_Dent	324.303846	3.846715783	15.17628177	66.01653933	874.84	14.94868882
Tr_153	2	Tropical	347.6155137	2.895931079	12.15787995	69.84448812	1008.34	16.14315227
CBD_184	2	Corn_Belt_Dent	351.1215384	2.058686313	13.32051271	71.42661573	920.97	13.55174862
EF_89	2	European_Flint	328.803846	3.121715783	14.75128177	68.21653933	905.89	15.11238304
NF_79	1	Northern_Flint	315.8652116	6.945744424	14.56303604	62.84132527	960.34	13.74868882
CBD_142	2	Corn_Belt_Dent	296.244738	2.975230318	14.70859983	67.36938517	937.39	13.69699842
CBD_104	2	Corn_Belt_Dent	336.053846	4.071715783	13.35128177	69.26653933	933.61	16.38868882
NF_249	1	Northern_Flint	294.553846	3.446715783	14.77628177	66.46653933	883.67	13.55469073
NF_191	1	Northern_Flint	331.803846	2.246715783	12.32628177	71.81653933	856.05	12.77776766
CBD_232	1	Corn_Belt_Dent	394.2492532	3.73031667	14.44674449	67.22464871	1371.34	21.9
SS_48	1	Stiff_Stalk	354.5409104	3.882685761	12.05783618	69.43319063	1195.66	19.92821921
NF_260	1	Northern_Flint	318.303846	3.871715783	13.72628177	70.31653933	895.75	14.40084458
Tr_9	2	Tropical	351.803846	2.571715783	12.95128177	68.14153933	1058.45	16.3239215
Tr_154	2	Tropical	312.3787598	2.376156429	13.30523625	71.6791233	1021.82	17.43930612
Tr_137	2	Tropical	315.8652116	3.395744424	13.81303604	66.89132527	1125.05	20.28523623
Tr_225	2	Tropical	306.8787598	3.951156429	13.05523625	67.9291233	1073.08	16.24699842
EF_254	2	European_Flint	252.3652116	2.795744424	17.86303604	62.69132527	931.1	16.90868882
EF_246	1	European_Flint	301.1287598	3.901156429	14.65523625	65.0041233	989	13.83930612
Tr_62	2	Tropical	283.2821804	3.062597746	19.42454662	62.84448812	1045.91	20.09684666
Tr_261	2	Tropical	323.392308	3.906568434	14.39743646	67.26692134	1174.1	19.42868882
Tr_106	2	Tropical	324.3652116	3.845744424	12.66303604	69.84132527	933.08	14.28545996
EF_82	2	European_Flint	314.553846	4.871715783	11.20128177	71.96653933	965.54	14.36238304
Tr_161	1	Tropical	344.2492532	4.63031667	11.74674449	70.22464871	1217.09	21.34419436
EF_156	2	European_Flint	320.3787598	4.826156429	13.38023625	64.8041233	991.39	17.12007535
EF_271	2	European_Flint	338.6287598	3.426156429	13.30523625	70.1291233	963.89	15.17752769
Tr_114	1	Tropical	333.2492532	2.93031667	15.24674449	66.42464871	1324.95	22.54714388
EF_203	1	European_Flint	306.303846	4.471715783	11.05128177	68.94153933	945.41	14.11238304
EF_186	2	European_Flint	319.553846	3.746715783	11.10128177	72.09153933	922.61	14.20853689
EF_75	2	European_Flint	303.303846	3.696715783	13.92628177	66.41653933	893.38	13.49699842
NF_140	2	Northern_Flint	314.6287598	3.376156429	13.08023625	67.4041233	973.11	14.59315227
EF_269	2	European_Flint	336.8787598	2.351156429	12.43023625	70.4041233	947.2	16.55469073
EF_41	2	European_Flint	353.3787598	2.701156429	13.20523625	69.1291233	1023.55	17.55469073
CBD_133	1	Corn_Belt_Dent	341.3787598	3.926156429	10.65523625	72.0541233	1016.43	17.74699842
CBD_233	2	Corn_Belt_Dent	338.6155137	3.629264412	13.35787995	69.57782146	1007.7	17.86238304
NF_180	2	Northern_Flint	376.6287598	3.101156429	13.10523625	67.6291233	1070.94	19.55469073
EF_144	2	European_Flint	364.803846	2.271715783	10.50128177	74.34153933	982.75	15.43930612
CBD_26	2	Corn_Belt_Dent	351.803846	2.046715783	13.05128177	70.14153933	952.36	14.97007535
CBD_30	2	Corn_Belt_Dent	359.8787598	3.751156429	11.10523625	71.7041233	1013.97	16.02061983
NF_132	1	Northern_Flint	338.6287598	3.726156429	14.98023625	68.7041233	1054.5	18.68930612
CBD_248	1	Corn_Belt_Dent	342.8787598	3.351156429	11.98023625	69.5041233	1015.83	17.92776766
EF_93	2	European_Flint	354.1287598	3.901156429	12.43023625	71.4541233	1115.94	19.13161381
EF_278	2	European_Flint	333.803846	4.921715783	11.07628177	70.96653933	975.21	16.02776766
CBD_73	2	Corn_Belt_Dent	343.3787598	4.751156429	12.08023625	68.8791233	994.63	16.28545996
CBD_68	1	Corn_Belt_Dent	356.8787598	3.526156429	9.705236248	72.5041233	1057.54	20.74868882
CBD_245	2	Corn_Belt_Dent	328.553846	4.296715783	14.32628177	66.84153933	889.55	15.28545996
